adverse_event,report_count
ORTHOSTATIC HYPOTENSION,898
NODULE,897
ANOSMIA,897
BLEPHAROSPASM,896
PNEUMOCYSTIS JIROVECII PNEUMONIA,896
IMMUNE SYSTEM DISORDER,895
THROMBOTIC MICROANGIOPATHY,894
PARANOIA,893
DRUG LEVEL DECREASED,893
LIVER FUNCTION TEST ABNORMAL,891
HYPERVOLAEMIA,890
CARDIOTOXICITY,890
POLYNEUROPATHY,889
GASTROINTESTINAL PAIN,888
PREMATURE DELIVERY,887
ACCIDENT,887
MYDRIASIS,884
PERIPHERAL VENOUS DISEASE,883
PANCREATIC CARCINOMA,882
ELECTROLYTE IMBALANCE,881
DEVICE FAILURE,874
SYMPTOM RECURRENCE,874
CYANOSIS,871
GENERALISED OEDEMA,870
SINUS TACHYCARDIA,868
SENSITIVE SKIN,868
HYPOGAMMAGLOBULINAEMIA,867
RHEUMATOID FACTOR POSITIVE,867
FEAR OF INJECTION,866
CYTOMEGALOVIRUS INFECTION REACTIVATION,865
NEOPLASM,865
PRODUCT SUPPLY ISSUE,864
COVID-19 PNEUMONIA,863
FEELING JITTERY,857
INJECTION SITE INJURY,857
INJECTION SITE WARMTH,857
QUALITY OF LIFE DECREASED,855
LYMPHOMA,853
APHTHOUS ULCER,850
INITIAL INSOMNIA,848
FACET JOINT SYNDROME,848
OSTEONECROSIS OF JAW,846
VITREOUS FLOATERS,841
COAGULOPATHY,839
COELIAC DISEASE,839
DIFFUSE LARGE B-CELL LYMPHOMA,838
MALIGNANT MELANOMA,837
GASTROINTESTINAL INFECTION,837
FACE OEDEMA,836
MYOSITIS,835
OSTEOMYELITIS,833
ADVERSE REACTION,833
LIGAMENT SPRAIN,832
CHOLECYSTITIS,831
HYPOAESTHESIA ORAL,829
MICTURITION URGENCY,827
COMPLICATION ASSOCIATED WITH DEVICE,825
HAEMATOCRIT DECREASED,825
PREGNANCY,824
FEAR,824
CARDIOMYOPATHY,823
